sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:44:01.634350,2022-09-05 00:51:00,20189.00,20230.00,19921.00,19938.40,2022-09-05 00:51:59
2022-09-05 01:44:01.634697,2022-09-05 00:52:00,20000.00,20230.00,19920.00,20172.50,2022-09-05 00:52:59
2022-09-05 01:44:01.634819,2022-09-05 00:53:00,20189.50,20230.00,19900.00,20180.00,2022-09-05 00:53:59
2022-09-05 01:44:01.634907,2022-09-05 00:54:00,20196.80,20230.00,20000.00,20200.00,2022-09-05 00:54:59
2022-09-05 01:44:01.634990,2022-09-05 00:55:00,20200.00,20230.00,19921.00,20051.30,2022-09-05 00:55:59
2022-09-05 01:44:01.635071,2022-09-05 00:56:00,20038.90,20230.00,20000.30,20100.00,2022-09-05 00:56:59
2022-09-05 01:44:01.635158,2022-09-05 00:57:00,20100.00,20230.00,19950.10,20135.60,2022-09-05 00:57:59
2022-09-05 01:44:01.635241,2022-09-05 00:58:00,20150.00,20229.00,19950.10,19950.10,2022-09-05 00:58:59
2022-09-05 01:44:01.635324,2022-09-05 00:59:00,20050.00,20229.00,19950.10,20200.00,2022-09-05 00:59:59
2022-09-05 01:44:01.635406,2022-09-05 01:00:00,20159.60,20230.00,19950.10,20143.30,2022-09-05 01:00:59
2022-09-05 01:44:01.635488,2022-09-05 01:01:00,20149.10,20230.00,19950.10,20100.00,2022-09-05 01:01:59
2022-09-05 01:44:01.635568,2022-09-05 01:02:00,20100.00,20230.00,19950.10,20230.00,2022-09-05 01:02:59
2022-09-05 01:44:01.635647,2022-09-05 01:03:00,20189.50,20230.00,19950.10,20050.00,2022-09-05 01:03:59
2022-09-05 01:44:01.635727,2022-09-05 01:04:00,20050.00,20222.00,20020.60,20222.00,2022-09-05 01:04:59
2022-09-05 01:44:01.635810,2022-09-05 01:05:00,20181.60,20222.00,19930.00,20000.00,2022-09-05 01:05:59
2022-09-05 01:44:01.635891,2022-09-05 01:06:00,20000.00,20241.40,19930.00,20047.60,2022-09-05 01:06:59
2022-09-05 01:44:01.635972,2022-09-05 01:07:00,20050.00,20220.00,19930.30,19930.30,2022-09-05 01:07:59
