sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:38:01.561919,2022-09-05 00:45:00,0.3344,0.3354,0.3338,0.3354,2022-09-05 00:45:59
2022-09-05 01:38:01.562271,2022-09-05 00:46:00,0.3333,0.3357,0.3180,0.3357,2022-09-05 00:46:59
2022-09-05 01:38:01.562381,2022-09-05 00:47:00,0.3350,0.3354,0.3337,0.3354,2022-09-05 00:47:59
2022-09-05 01:38:01.562461,2022-09-05 00:48:00,0.3347,0.3354,0.3274,0.3333,2022-09-05 00:48:59
2022-09-05 01:38:01.562538,2022-09-05 00:49:00,0.3333,0.3354,0.3274,0.3334,2022-09-05 00:49:59
2022-09-05 01:38:01.562631,2022-09-05 00:50:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:50:59
2022-09-05 01:38:01.562713,2022-09-05 00:51:00,0.3334,0.3357,0.3274,0.3333,2022-09-05 00:51:59
2022-09-05 01:38:01.562790,2022-09-05 00:52:00,0.3333,0.3347,0.3329,0.3340,2022-09-05 00:52:59
2022-09-05 01:38:01.562865,2022-09-05 00:53:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:53:59
2022-09-05 01:38:01.562943,2022-09-05 00:54:00,0.3334,0.3347,0.3334,0.3347,2022-09-05 00:54:59
2022-09-05 01:38:01.563019,2022-09-05 00:55:00,0.3335,0.3368,0.3335,0.3335,2022-09-05 00:55:59
2022-09-05 01:38:01.563095,2022-09-05 00:56:00,0.3335,0.3348,0.3335,0.3335,2022-09-05 00:56:59
2022-09-05 01:38:01.563170,2022-09-05 00:57:00,0.3335,0.3348,0.3334,0.3334,2022-09-05 00:57:59
2022-09-05 01:38:01.563245,2022-09-05 00:58:00,0.3334,0.3361,0.3332,0.3332,2022-09-05 00:58:59
2022-09-05 01:38:01.563323,2022-09-05 00:59:00,0.3332,0.3361,0.3331,0.3331,2022-09-05 00:59:59
2022-09-05 01:38:01.563400,2022-09-05 01:00:00,0.3331,0.3343,0.3331,0.3343,2022-09-05 01:00:59
2022-09-05 01:38:01.563477,2022-09-05 01:01:00,0.3331,0.3343,0.3331,0.3331,2022-09-05 01:01:59
2022-09-05 01:38:01.563554,2022-09-05 01:02:00,0.3331,0.3368,0.3331,0.3343,2022-09-05 01:02:59
2022-09-05 01:38:01.563643,2022-09-05 01:03:00,0.3343,0.3355,0.3343,0.3355,2022-09-05 01:03:59
2022-09-05 01:38:01.563722,2022-09-05 01:04:00,0.3348,0.3355,0.3343,0.3355,2022-09-05 01:04:59
2022-09-05 01:38:01.563801,2022-09-05 01:05:00,0.3342,0.3361,0.3341,0.3341,2022-09-05 01:05:59
2022-09-05 01:38:01.563878,2022-09-05 01:06:00,0.3341,0.3359,0.3341,0.3359,2022-09-05 01:06:59
2022-09-05 01:38:01.563955,2022-09-05 01:07:00,0.3341,0.3370,0.3336,0.3336,2022-09-05 01:07:59
