sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:31:01.517001,2022-09-05 00:38:00,0.3376,0.3376,0.3324,0.3335,2022-09-05 00:38:59
2022-09-05 01:31:01.517517,2022-09-05 00:39:00,0.3325,0.3335,0.3325,0.3335,2022-09-05 00:39:59
2022-09-05 01:31:01.517700,2022-09-05 00:40:00,0.3324,0.3335,0.3324,0.3335,2022-09-05 00:40:59
2022-09-05 01:31:01.517773,2022-09-05 00:41:00,0.3324,0.3346,0.3324,0.3324,2022-09-05 00:41:59
2022-09-05 01:31:01.517827,2022-09-05 00:42:00,0.3324,0.3335,0.3324,0.3325,2022-09-05 00:42:59
2022-09-05 01:31:01.517908,2022-09-05 00:43:00,0.3325,0.3346,0.3325,0.3339,2022-09-05 00:43:59
2022-09-05 01:31:01.517992,2022-09-05 00:44:00,0.3335,0.3353,0.3335,0.3344,2022-09-05 00:44:59
2022-09-05 01:31:01.518050,2022-09-05 00:45:00,0.3344,0.3354,0.3338,0.3354,2022-09-05 00:45:59
2022-09-05 01:31:01.518151,2022-09-05 00:46:00,0.3333,0.3357,0.3180,0.3357,2022-09-05 00:46:59
2022-09-05 01:31:01.518233,2022-09-05 00:47:00,0.3350,0.3354,0.3337,0.3354,2022-09-05 00:47:59
2022-09-05 01:31:01.518312,2022-09-05 00:48:00,0.3347,0.3354,0.3274,0.3333,2022-09-05 00:48:59
2022-09-05 01:31:01.518389,2022-09-05 00:49:00,0.3333,0.3354,0.3274,0.3334,2022-09-05 00:49:59
2022-09-05 01:31:01.518465,2022-09-05 00:50:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:50:59
2022-09-05 01:31:01.518541,2022-09-05 00:51:00,0.3334,0.3357,0.3274,0.3333,2022-09-05 00:51:59
2022-09-05 01:31:01.518617,2022-09-05 00:52:00,0.3333,0.3347,0.3329,0.3340,2022-09-05 00:52:59
2022-09-05 01:31:01.518695,2022-09-05 00:53:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:53:59
2022-09-05 01:31:01.518791,2022-09-05 00:54:00,0.3334,0.3347,0.3334,0.3347,2022-09-05 00:54:59
2022-09-05 01:31:01.518870,2022-09-05 00:55:00,0.3335,0.3368,0.3335,0.3335,2022-09-05 00:55:59
2022-09-05 01:31:01.518975,2022-09-05 00:56:00,0.3335,0.3348,0.3335,0.3335,2022-09-05 00:56:59
2022-09-05 01:31:01.519060,2022-09-05 00:57:00,0.3335,0.3348,0.3334,0.3334,2022-09-05 00:57:59
2022-09-05 01:31:01.519141,2022-09-05 00:58:00,0.3334,0.3361,0.3332,0.3332,2022-09-05 00:58:59
2022-09-05 01:31:01.519234,2022-09-05 00:59:00,0.3332,0.3361,0.3331,0.3331,2022-09-05 00:59:59
2022-09-05 01:31:01.519312,2022-09-05 01:00:00,0.3331,0.3343,0.3331,0.3343,2022-09-05 01:00:59
2022-09-05 01:31:01.519390,2022-09-05 01:01:00,0.3331,0.3343,0.3331,0.3331,2022-09-05 01:01:59
2022-09-05 01:31:01.519466,2022-09-05 01:02:00,0.3331,0.3368,0.3331,0.3343,2022-09-05 01:02:59
2022-09-05 01:31:01.519541,2022-09-05 01:03:00,0.3343,0.3355,0.3343,0.3355,2022-09-05 01:03:59
2022-09-05 01:31:01.519616,2022-09-05 01:04:00,0.3348,0.3355,0.3343,0.3355,2022-09-05 01:04:59
2022-09-05 01:31:01.519709,2022-09-05 01:05:00,0.3342,0.3361,0.3341,0.3341,2022-09-05 01:05:59
2022-09-05 01:31:01.519788,2022-09-05 01:06:00,0.3341,0.3359,0.3341,0.3359,2022-09-05 01:06:59
2022-09-05 01:31:01.519865,2022-09-05 01:07:00,0.3341,0.3370,0.3336,0.3336,2022-09-05 01:07:59
2022-09-05 01:31:01.519964,2022-09-05 01:08:00,0.3336,0.3351,0.3336,0.3336,2022-09-05 01:08:59
