sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:32:01.556750,2022-09-05 00:39:00,0.3325,0.3335,0.3325,0.3335,2022-09-05 00:39:59
2022-09-05 01:32:01.557052,2022-09-05 00:40:00,0.3324,0.3335,0.3324,0.3335,2022-09-05 00:40:59
2022-09-05 01:32:01.557152,2022-09-05 00:41:00,0.3324,0.3346,0.3324,0.3324,2022-09-05 00:41:59
2022-09-05 01:32:01.557234,2022-09-05 00:42:00,0.3324,0.3335,0.3324,0.3325,2022-09-05 00:42:59
2022-09-05 01:32:01.557312,2022-09-05 00:43:00,0.3325,0.3346,0.3325,0.3339,2022-09-05 00:43:59
2022-09-05 01:32:01.557389,2022-09-05 00:44:00,0.3335,0.3353,0.3335,0.3344,2022-09-05 00:44:59
2022-09-05 01:32:01.557465,2022-09-05 00:45:00,0.3344,0.3354,0.3338,0.3354,2022-09-05 00:45:59
2022-09-05 01:32:01.557544,2022-09-05 00:46:00,0.3333,0.3357,0.3180,0.3357,2022-09-05 00:46:59
2022-09-05 01:32:01.557624,2022-09-05 00:47:00,0.3350,0.3354,0.3337,0.3354,2022-09-05 00:47:59
2022-09-05 01:32:01.557701,2022-09-05 00:48:00,0.3347,0.3354,0.3274,0.3333,2022-09-05 00:48:59
2022-09-05 01:32:01.557779,2022-09-05 00:49:00,0.3333,0.3354,0.3274,0.3334,2022-09-05 00:49:59
2022-09-05 01:32:01.557882,2022-09-05 00:50:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:50:59
2022-09-05 01:32:01.557958,2022-09-05 00:51:00,0.3334,0.3357,0.3274,0.3333,2022-09-05 00:51:59
2022-09-05 01:32:01.558034,2022-09-05 00:52:00,0.3333,0.3347,0.3329,0.3340,2022-09-05 00:52:59
2022-09-05 01:32:01.558216,2022-09-05 00:53:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:53:59
2022-09-05 01:32:01.558310,2022-09-05 00:54:00,0.3334,0.3347,0.3334,0.3347,2022-09-05 00:54:59
